detector,base_id,transform,cwe,score_margin,vdcp_success,score_tie,decision_success
VulBERTa-public,juliet-CWE114-0044,original,CWE114,0.12180311977863312,1.0,0.0,0.0
VulBERTa-public,juliet-CWE114-0071,original,CWE114,0.20370512828230858,1.0,0.0,0.0
VulBERTa-public,juliet-CWE114-0077,original,CWE114,0.12779217958450317,1.0,0.0,0.0
VulBERTa-public,juliet-CWE114-0166,original,CWE114,0.06393362581729889,1.0,0.0,0.0
VulBERTa-public,juliet-CWE114-0210,original,CWE114,0.07783198356628418,1.0,0.0,0.0
VulBERTa-public,juliet-CWE114-0250,original,CWE114,0.11893138289451599,1.0,0.0,0.0
VulBERTa-public,juliet-CWE114-0320,original,CWE114,-0.0023554153740406036,0.0,0.0,0.0
VulBERTa-public,juliet-CWE114-0363,original,CWE114,0.23308898508548737,1.0,0.0,0.0
VulBERTa-public,juliet-CWE114-0369,original,CWE114,0.11163585633039474,1.0,0.0,0.0
VulBERTa-public,juliet-CWE121-0045,original,CWE121,-0.5042004883289337,0.0,0.0,0.0
VulBERTa-public,juliet-CWE121-0100,original,CWE121,0.18390828371047974,1.0,0.0,0.0
VulBERTa-public,juliet-CWE121-0146,original,CWE121,-0.38837137818336487,0.0,0.0,0.0
VulBERTa-public,juliet-CWE121-0167,original,CWE121,-0.5784246474504471,0.0,0.0,0.0
VulBERTa-public,juliet-CWE121-0256,original,CWE121,-0.6665262281894684,0.0,0.0,0.0
VulBERTa-public,juliet-CWE121-0296,original,CWE121,-0.3080083131790161,0.0,0.0,0.0
VulBERTa-public,juliet-CWE121-0334,original,CWE121,0.0014809444546699524,1.0,0.0,0.0
VulBERTa-public,juliet-CWE122-0024,original,CWE122,-0.027602650225162506,0.0,0.0,0.0
VulBERTa-public,juliet-CWE122-0041,original,CWE122,-0.2056320607662201,0.0,0.0,0.0
VulBERTa-public,juliet-CWE122-0072,original,CWE122,-0.173635333776474,0.0,0.0,0.0
VulBERTa-public,juliet-CWE122-0074,original,CWE122,-0.17048048973083496,0.0,0.0,0.0
VulBERTa-public,juliet-CWE122-0105,original,CWE122,-0.029693588614463806,0.0,0.0,0.0
VulBERTa-public,juliet-CWE122-0147,original,CWE122,-0.09414398670196533,0.0,0.0,0.0
VulBERTa-public,juliet-CWE122-0215,original,CWE122,-0.525346428155899,0.0,0.0,0.0
VulBERTa-public,juliet-CWE122-0218,original,CWE122,0.09256203472614288,1.0,0.0,0.0
VulBERTa-public,juliet-CWE122-0359,original,CWE122,-0.16269619762897491,0.0,0.0,0.0
VulBERTa-public,juliet-CWE123-0042,original,CWE123,-0.2127349078655243,0.0,0.0,0.0
VulBERTa-public,juliet-CWE123-0047,original,CWE123,-0.23720194399356842,0.0,0.0,0.0
VulBERTa-public,juliet-CWE123-0084,original,CWE123,0.5063546150922775,1.0,0.0,1.0
VulBERTa-public,juliet-CWE123-0086,original,CWE123,-0.22362059354782104,0.0,0.0,0.0
VulBERTa-public,juliet-CWE123-0110,original,CWE123,-0.28531724214553833,0.0,0.0,0.0
VulBERTa-public,juliet-CWE123-0114,original,CWE123,0.022023558616638184,1.0,0.0,0.0
VulBERTa-public,juliet-CWE123-0178,original,CWE123,-0.2853856682777405,0.0,0.0,0.0
VulBERTa-public,juliet-CWE123-0259,original,CWE123,-0.03480568528175354,0.0,0.0,0.0
VulBERTa-public,juliet-CWE123-0328,original,CWE123,-0.31123802065849304,0.0,0.0,0.0
