detector,subset,transform,pairs,decision_flip_rate,tifr,rank_displacement_robustness,spearman_score_stability,mean_abs_score_shift
VulBERTa-public,full CodeXGLUE,ALL,21856,0.07009516837481698,0.04968724811839079,0.9503127518816092,0.927976754083999,0.05880011024785679
VulBERTa-public,full CodeXGLUE,blank_line_expansion,2732,0.0,5.359183174737188e-07,0.9999994640816825,1.0,9.817748956415001e-11
VulBERTa-public,full CodeXGLUE,brace_line_shift,2732,0.0,1.2058162143158661e-06,0.9999987941837857,1.0,1.7317418298120904e-10
VulBERTa-public,full CodeXGLUE,code_normalization_abstraction,2732,0.02452415812591508,0.013193371119147503,0.9868066288808525,0.993214409282196,0.017632049119091792
VulBERTa-public,full CodeXGLUE,comment_banner,2732,0.1295754026354319,0.08893162539738343,0.9110683746026166,0.8776726721011525,0.10947839332346315
VulBERTa-public,full CodeXGLUE,control_flow_rewrite,2732,0.0,4.863458731074037e-05,0.9999513654126893,0.9999886074186233,5.1286764235657095e-05
VulBERTa-public,full CodeXGLUE,dead_branch_after_opening_brace,2732,0.12847730600292825,0.09169401636480175,0.9083059836351982,0.8853784278284369,0.10872167461356734
VulBERTa-public,full CodeXGLUE,identifier_renaming,2732,0.14531478770131773,0.10772065364885346,0.8922793463511466,0.8476874738326188,0.12355586218867194
VulBERTa-public,full CodeXGLUE,safe_dead_code_carrier,2732,0.1328696925329429,0.09590794209509763,0.9040920579049023,0.880030093728216,0.11096161570247279
LineVul-public,full CodeXGLUE,ALL,21856,0.01221632503660322,0.09760056473732501,0.902399435262675,0.7359336461938254,0.012592035821782734
LineVul-public,full CodeXGLUE,blank_line_expansion,2732,0.0014641288433382138,0.020697634349363007,0.979302365650637,0.9917324107739913,0.0016850192324024725
LineVul-public,full CodeXGLUE,brace_line_shift,2732,0.0014641288433382138,0.02203414764335279,0.9779658523566472,0.9928758617608544,0.0017283460025574982
LineVul-public,full CodeXGLUE,code_normalization_abstraction,2732,0.00036603221083455345,0.0067437951377202895,0.9932562048622797,0.9979518036237929,0.00029623982257297263
LineVul-public,full CodeXGLUE,comment_banner,2732,0.0021961932650073207,0.050502664585874484,0.9494973354141255,0.9468801395845037,0.00273139800584354
LineVul-public,full CodeXGLUE,control_flow_rewrite,2732,0.0,0.0018277494217441355,0.9981722505782559,0.9908096977450965,0.00020174672029578972
LineVul-public,full CodeXGLUE,dead_branch_after_opening_brace,2732,0.04062957540263543,0.31133049225169296,0.688669507748307,0.25191227445332826,0.0411183572411519
LineVul-public,full CodeXGLUE,identifier_renaming,2732,0.0018301610541727673,0.04422846787384054,0.9557715321261595,0.9699289818701647,0.0023715800258835972
LineVul-public,full CodeXGLUE,safe_dead_code_carrier,2732,0.04978038067349927,0.3234395666350118,0.6765604333649882,0.2450210288498808,0.0506035995235541
ReGVD-official-calibrated,full CodeXGLUE,ALL,21856,0.008052708638360176,0.07229134489237689,0.9277086551076231,0.9270849221682728,0.00412530660640181
ReGVD-official-calibrated,full CodeXGLUE,blank_line_expansion,2732,0.0,0.0,1.0,1.0,0.0
ReGVD-official-calibrated,full CodeXGLUE,brace_line_shift,2732,0.0,0.0003470071105642364,0.9996529928894358,0.9999480826604911,1.7704532139472347e-05
ReGVD-official-calibrated,full CodeXGLUE,code_normalization_abstraction,2732,0.0007320644216691069,0.004931520357393207,0.9950684796426068,0.9986437989227274,0.00025978605883362354
ReGVD-official-calibrated,full CodeXGLUE,comment_banner,2732,0.013543191800878478,0.13079073139988295,0.869209268600117,0.9744400533826095,0.007263389962833064
ReGVD-official-calibrated,full CodeXGLUE,control_flow_rewrite,2732,0.0,5.868305576337273e-05,0.9999413169442366,0.9999830750223502,2.375971607722091e-06
ReGVD-official-calibrated,full CodeXGLUE,dead_branch_after_opening_brace,2732,0.02232796486090776,0.19254057973499913,0.8074594202650008,0.9260959760708946,0.011265247416618454
ReGVD-official-calibrated,full CodeXGLUE,identifier_renaming,2732,0.0076866764275256225,0.049232002255144285,0.9507679977448558,0.9814147747297997,0.002837548373297053
ReGVD-official-calibrated,full CodeXGLUE,safe_dead_code_carrier,2732,0.02013177159590044,0.20043023522526793,0.7995697647747321,0.9053113012683942,0.011356400535885098
GraphCodeBERT-public,512-origin subset,ALL,4096,0.043701171875,0.03236055374145508,0.9676394462585449,0.9757003344124462,0.019965741178793905
GraphCodeBERT-public,512-origin subset,blank_line_expansion,512,0.01171875,0.013454437255859375,0.9865455627441406,0.9962671554743022,0.007971583305334207
GraphCodeBERT-public,512-origin subset,brace_line_shift,512,0.0703125,0.041637420654296875,0.9583625793457031,0.9873590583193143,0.02642562161781825
GraphCodeBERT-public,512-origin subset,code_normalization_abstraction,512,0.013671875,0.011627197265625,0.988372802734375,0.9919285764353807,0.007443008340487722
GraphCodeBERT-public,512-origin subset,comment_banner,512,0.056640625,0.04788970947265625,0.9521102905273438,0.970971861016697,0.02873785621522984
GraphCodeBERT-public,512-origin subset,control_flow_rewrite,512,0.0,0.000751495361328125,0.9992485046386719,0.9994107164314897,0.0004794331034645438
GraphCodeBERT-public,512-origin subset,dead_branch_after_opening_brace,512,0.068359375,0.05211639404296875,0.9478836059570312,0.9570802899085613,0.032723051679568016
GraphCodeBERT-public,512-origin subset,identifier_renaming,512,0.0546875,0.030719757080078125,0.9692802429199219,0.9788538304951877,0.019125414633890614
GraphCodeBERT-public,512-origin subset,safe_dead_code_carrier,512,0.07421875,0.060688018798828125,0.9393119812011719,0.9498446458612284,0.03681996053455805
AST-structural-RF-local,512-origin subset,ALL,4096,0.019775390625,0.03766441345214844,0.9623355865478516,0.9426485455656021,0.014244570226857402
AST-structural-RF-local,512-origin subset,blank_line_expansion,512,0.0,0.00109100341796875,0.9989089965820312,0.9996805476877124,0.000292686084811757
AST-structural-RF-local,512-origin subset,brace_line_shift,512,0.0,0.0010833740234375,0.9989166259765625,0.9997278441537634,0.00030646243742990287
AST-structural-RF-local,512-origin subset,code_normalization_abstraction,512,0.00390625,0.015781402587890625,0.9842185974121094,0.9851808280690311,0.00503492804424053
AST-structural-RF-local,512-origin subset,comment_banner,512,0.041015625,0.056629180908203125,0.9433708190917969,0.9396236023849578,0.021256656918814294
AST-structural-RF-local,512-origin subset,control_flow_rewrite,512,0.0,0.00038909912109375,0.9996109008789062,0.9997913233426031,0.0001702915301799577
AST-structural-RF-local,512-origin subset,dead_branch_after_opening_brace,512,0.05078125,0.10710525512695312,0.8928947448730469,0.8098724086185785,0.04127201832196685
AST-structural-RF-local,512-origin subset,identifier_renaming,512,0.005859375,0.0057220458984375,0.9942779541015625,0.9986361809203373,0.0019419862167328746
AST-structural-RF-local,512-origin subset,safe_dead_code_carrier,512,0.056640625,0.11351394653320312,0.8864860534667969,0.7849466345658668,0.04368153226068306
AST-structural-ExtraTrees-local,full CodeXGLUE,ALL,21856,0.016654465592972182,0.031990505135169316,0.9680094948648307,0.9558484989336602,0.010156653964002163
AST-structural-ExtraTrees-local,full CodeXGLUE,blank_line_expansion,2732,0.0,0.0003361547646353933,0.9996638452353646,0.9999831897779653,8.400761604826493e-05
AST-structural-ExtraTrees-local,full CodeXGLUE,brace_line_shift,2732,0.0,0.00020525671559243626,0.9997947432844075,0.9999904980904056,6.493462482994974e-05
AST-structural-ExtraTrees-local,full CodeXGLUE,code_normalization_abstraction,2732,0.004026354319180088,0.009275004340938373,0.9907249956590616,0.9959350633610469,0.0028402458526872853
AST-structural-ExtraTrees-local,full CodeXGLUE,comment_banner,2732,0.01683748169838946,0.04295988222659055,0.9570401177734095,0.9644290228787677,0.013076139654089809
AST-structural-ExtraTrees-local,full CodeXGLUE,control_flow_rewrite,2732,0.0,0.00013116600820169385,0.9998688339917983,0.9999194139200154,5.457577711578858e-05
AST-structural-ExtraTrees-local,full CodeXGLUE,dead_branch_after_opening_brace,2732,0.05600292825768668,0.09889005957268018,0.9011099404273198,0.8394331367325394,0.0318892284210274
AST-structural-ExtraTrees-local,full CodeXGLUE,identifier_renaming,2732,0.0007320644216691069,0.001730346267543286,0.9982696537324567,0.9998744128115039,0.00046960135463449966
AST-structural-ExtraTrees-local,full CodeXGLUE,safe_dead_code_carrier,2732,0.055636896046852125,0.10239617118517265,0.8976038288148274,0.8305515688843994,0.0327744984115843
