detector,cwe,pairs,vdcp,mean_score_margin,score_tie_rate,decision_pair_success
VulBERTa-public,unknown,19,0.42105263157894735,-0.04149196581228783,0.0,0.05263157894736842
VulBERTa-public,CWE-119,18,0.2222222222222222,-0.12852378520700666,0.2222222222222222,0.05555555555555555
VulBERTa-public,CWE-20,10,0.4,-0.007446403056383133,0.2,0.0
VulBERTa-public,CWE-125,8,0.125,-0.021262416150420904,0.375,0.0
VulBERTa-public,CWE-264,7,0.7142857142857143,0.010509574519736426,0.0,0.0
VulBERTa-public,CWE-399,7,0.42857142857142855,-0.14480130055121013,0.0,0.0
VulBERTa-public,CWE-200,5,0.8,0.031765781715512274,0.0,0.0
VulBERTa-public,CWE-416,5,0.6,0.16009722799062728,0.2,0.2
LineVul-public,unknown,19,0.47368421052631576,0.05307452279770299,0.0,0.10526315789473684
LineVul-public,CWE-119,18,0.3888888888888889,0.0037673569215459996,0.3333333333333333,0.05555555555555555
LineVul-public,CWE-20,10,0.3,-1.959972723852843e-06,0.4,0.0
LineVul-public,CWE-125,8,0.375,6.399303674697876e-05,0.375,0.0
LineVul-public,CWE-264,7,0.7142857142857143,0.1427407427275154,0.0,0.14285714285714285
LineVul-public,CWE-399,7,1.0,0.0015634553778259683,0.0,0.0
LineVul-public,CWE-200,5,0.2,-0.1392436146736145,0.0,0.0
LineVul-public,CWE-416,5,0.2,0.001022563402511878,0.2,0.0
ReGVD-official-validation-calibrated,unknown,19,0.3157894736842105,-0.003429191677193893,0.15789473684210525,0.0
ReGVD-official-validation-calibrated,CWE-119,18,0.3333333333333333,0.0016748209794362385,0.3888888888888889,0.0
ReGVD-official-validation-calibrated,CWE-20,10,0.2,-0.0011371910572052003,0.4,0.0
ReGVD-official-validation-calibrated,CWE-125,8,0.125,-0.001683458685874939,0.375,0.0
ReGVD-official-validation-calibrated,CWE-264,7,0.42857142857142855,0.002475700208118984,0.42857142857142855,0.0
ReGVD-official-validation-calibrated,CWE-399,7,0.42857142857142855,-0.006360922540937152,0.14285714285714285,0.0
ReGVD-official-validation-calibrated,CWE-200,5,0.4,-0.008070152997970582,0.2,0.0
ReGVD-official-validation-calibrated,CWE-416,5,0.6,0.0018823325634002685,0.4,0.0
CodeBERT-Devign-local,unknown,19,0.3157894736842105,-0.01500198587590033,0.15789473684210525,0.0
CodeBERT-Devign-local,CWE-119,18,0.3333333333333333,-0.052942748261746414,0.1111111111111111,0.0
CodeBERT-Devign-local,CWE-20,10,0.5,0.014324286632071803,0.1,0.0
CodeBERT-Devign-local,CWE-125,8,0.375,0.002394337145837526,0.25,0.0
CodeBERT-Devign-local,CWE-264,7,0.2857142857142857,-0.014650167318301124,0.0,0.0
CodeBERT-Devign-local,CWE-399,7,0.42857142857142855,-0.020773173585186593,0.0,0.0
CodeBERT-Devign-local,CWE-200,5,0.4,0.004335785666127301,0.0,0.0
CodeBERT-Devign-local,CWE-416,5,0.2,-0.012546184136584837,0.2,0.0
VulBERTa-local,unknown,19,0.47368421052631576,-0.004309207821539233,0.05263157894736842,0.05263157894736842
VulBERTa-local,CWE-119,18,0.5,-0.026909071866630677,0.0,0.0
VulBERTa-local,CWE-20,10,0.7,0.016531894523931355,0.0,0.0
VulBERTa-local,CWE-125,8,0.375,0.0012255019877433007,0.125,0.0
VulBERTa-local,CWE-264,7,0.2857142857142857,-0.012305017437902062,0.14285714285714285,0.0
VulBERTa-local,CWE-399,7,0.42857142857142855,0.014801940500375524,0.0,0.14285714285714285
VulBERTa-local,CWE-200,5,0.4,0.027358806941410775,0.0,0.0
VulBERTa-local,CWE-416,5,0.6,-1.742794531245373e-06,0.0,0.0
LineVul-local,unknown,19,0.15789473684210525,0.01215495707177128,0.8421052631578947,0.05263157894736842
LineVul-local,CWE-119,18,0.16666666666666666,0.022650644229325254,0.8333333333333334,0.0
LineVul-local,CWE-20,10,0.1,0.008598680792297841,0.9,0.0
LineVul-local,CWE-125,8,0.0,0.0,1.0,0.0
LineVul-local,CWE-264,7,0.0,0.0,1.0,0.0
LineVul-local,CWE-399,7,0.14285714285714285,0.05562241548832257,0.8571428571428571,0.0
LineVul-local,CWE-200,5,0.4,0.06941429751003711,0.6,0.0
LineVul-local,CWE-416,5,0.0,0.0,1.0,0.0
ReGVD-structural-local,unknown,19,0.42105263157894735,-0.052817445067593914,0.0,0.0
ReGVD-structural-local,CWE-119,18,0.3888888888888889,-0.06003306765294955,0.0,0.0
ReGVD-structural-local,CWE-20,10,0.3,-0.017761724221799908,0.1,0.0
ReGVD-structural-local,CWE-125,8,0.125,-0.0235795032607405,0.25,0.0
ReGVD-structural-local,CWE-264,7,0.2857142857142857,-0.013995799433834341,0.0,0.0
ReGVD-structural-local,CWE-399,7,0.2857142857142857,-0.05853458821690148,0.14285714285714285,0.0
ReGVD-structural-local,CWE-200,5,0.4,-0.01963371989566436,0.0,0.0
ReGVD-structural-local,CWE-416,5,0.8,0.04492317256962062,0.0,0.0
