dataset,detector,strategy,precision,recall,f1
bigvul,codebert_devign_local,original,0.03442940038684719,0.8811881188118812,0.06626954579300073
bigvul,codebert_devign_local,majority,0.03442940038684719,0.8811881188118812,0.06626954579300073
bigvul,codebert_devign_local,max-risk,0.03234880450070324,0.9108910891089109,0.06247877758913414
bigvul,linevul_local,original,0.033779264214046825,1.0,0.06535101908767389
bigvul,linevul_local,majority,0.033779264214046825,1.0,0.06535101908767389
bigvul,linevul_local,max-risk,0.033677892630876956,1.0,0.06516129032258064
bigvul,regvd_structural_local,original,0.033680555555555554,0.9603960396039604,0.06507883260650787
bigvul,regvd_structural_local,majority,0.03366886497743839,0.9603960396039604,0.06505700871898054
bigvul,regvd_structural_local,max-risk,0.033666666666666664,1.0,0.06514027732989357
bigvul,vulberta_devign_local,original,0.034,0.8415841584158416,0.06535947712418301
bigvul,vulberta_devign_local,majority,0.034,0.8415841584158416,0.06535947712418301
bigvul,vulberta_devign_local,max-risk,0.03319956220357534,0.900990099009901,0.06403940886699508
codexglue,codebert_devign_local,original,0.5289684408855393,0.8948207171314742,0.664890467732386
codexglue,codebert_devign_local,majority,0.5289684408855393,0.8948207171314742,0.664890467732386
codexglue,codebert_devign_local,max-risk,0.5133214920071048,0.9211155378486056,0.6592529227259766
codexglue,linevul_local,original,0.45937042459736455,1.0,0.6295460245798845
codexglue,linevul_local,majority,0.45937042459736455,1.0,0.6295460245798845
codexglue,linevul_local,max-risk,0.45937042459736455,1.0,0.6295460245798845
codexglue,regvd_structural_local,original,0.4713740458015267,0.9840637450199203,0.6374193548387096
codexglue,regvd_structural_local,majority,0.47119420068676077,0.9840637450199203,0.6372549019607844
codexglue,regvd_structural_local,max-risk,0.4603815113719736,1.0,0.6304948505400653
codexglue,vulberta_devign_local,original,0.5381944444444444,0.8645418326693227,0.6634056863344543
codexglue,vulberta_devign_local,majority,0.5381944444444444,0.8645418326693227,0.6634056863344543
codexglue,vulberta_devign_local,max-risk,0.5252198056455345,0.9043824701195219,0.664519906323185
diversevul,codebert_devign_local,original,0.05591798695246971,0.933852140077821,0.10551769619696637
diversevul,codebert_devign_local,majority,0.05591798695246971,0.933852140077821,0.10551769619696637
diversevul,codebert_devign_local,max-risk,0.05187873612297182,0.9455252918287937,0.09836065573770493
diversevul,linevul_local,original,0.05185633575464084,1.0,0.0985996547093804
diversevul,linevul_local,majority,0.05177276390008058,1.0,0.09844857307029303
diversevul,linevul_local,max-risk,0.0514,1.0,0.09777439604337074
diversevul,regvd_structural_local,original,0.053134080531340805,0.9961089494163424,0.10088669950738917
diversevul,regvd_structural_local,majority,0.05305699481865285,0.9961089494163424,0.10074773711137348
diversevul,regvd_structural_local,max-risk,0.05143085851510906,1.0,0.09783022459078797
diversevul,vulberta_devign_local,original,0.056297015287551565,0.9027237354085603,0.10598446779351302
diversevul,vulberta_devign_local,majority,0.056297015287551565,0.9027237354085603,0.10598446779351302
diversevul,vulberta_devign_local,max-risk,0.05205116894574327,0.9182879377431906,0.09851805468586934
