n,tp,fp,tn,fn,precision,recall,f1,accuracy,dataset,detector,transform,flip_rate
3000,89,2496,403,12,0.03442940038684719,0.8811881188118812,0.06626954579300073,0.164,bigvul,codebert_devign_local,blank_line_expansion,0.0
3000,89,2496,403,12,0.03442940038684719,0.8811881188118812,0.06626954579300073,0.164,bigvul,codebert_devign_local,brace_line_shift,0.0
3000,90,2610,289,11,0.03333333333333333,0.8910891089108911,0.06426276329882184,0.12633333333333333,bigvul,codebert_devign_local,code_normalization_abstraction,0.03833333333333333
3000,82,2179,720,19,0.0362671384343211,0.8118811881188119,0.06943268416596106,0.2673333333333333,bigvul,codebert_devign_local,comment_banner,0.108
3000,89,2496,403,12,0.03442940038684719,0.8811881188118812,0.06626954579300073,0.164,bigvul,codebert_devign_local,control_flow_rewrite,0.0
3000,91,2678,221,10,0.03286384976525822,0.900990099009901,0.06341463414634146,0.104,bigvul,codebert_devign_local,dead_branch_after_opening_brace,0.06133333333333333
3000,89,2497,402,12,0.03441608662026296,0.8811881188118812,0.06624488276888724,0.16366666666666665,bigvul,codebert_devign_local,identifier_renaming,0.017
3000,92,2717,182,9,0.03275186899252403,0.9108910891089109,0.06323024054982818,0.09133333333333334,bigvul,codebert_devign_local,safe_dead_code_carrier,0.07466666666666667
3000,101,2889,10,0,0.033779264214046825,1.0,0.06535101908767389,0.037,bigvul,linevul_local,blank_line_expansion,0.0
3000,101,2891,8,0,0.03375668449197861,1.0,0.06530876172001294,0.036333333333333336,bigvul,linevul_local,brace_line_shift,0.0006666666666666666
3000,101,2894,5,0,0.0337228714524207,1.0,0.06524547803617571,0.035333333333333335,bigvul,linevul_local,code_normalization_abstraction,0.0016666666666666668
3000,101,2897,2,0,0.03368912608405604,1.0,0.06518231687641175,0.034333333333333334,bigvul,linevul_local,comment_banner,0.0026666666666666666
3000,101,2889,10,0,0.033779264214046825,1.0,0.06535101908767389,0.037,bigvul,linevul_local,control_flow_rewrite,0.0
3000,101,2898,1,0,0.033677892630876956,1.0,0.06516129032258064,0.034,bigvul,linevul_local,dead_branch_after_opening_brace,0.003
3000,101,2889,10,0,0.033779264214046825,1.0,0.06535101908767389,0.037,bigvul,linevul_local,identifier_renaming,0.0
3000,101,2898,1,0,0.033677892630876956,1.0,0.06516129032258064,0.034,bigvul,linevul_local,safe_dead_code_carrier,0.003
3000,97,2779,120,4,0.03372739916550765,0.9603960396039604,0.06516627477326167,0.07233333333333333,bigvul,regvd_structural_local,blank_line_expansion,0.002
3000,97,2749,150,4,0.03408292340126493,0.9603960396039604,0.06582965727858839,0.08233333333333333,bigvul,regvd_structural_local,brace_line_shift,0.016
3000,97,2799,100,4,0.033494475138121545,0.9603960396039604,0.06473139806473138,0.06566666666666666,bigvul,regvd_structural_local,code_normalization_abstraction,0.010666666666666666
3000,99,2773,126,2,0.03447075208913649,0.9801980198019802,0.06659939455095862,0.075,bigvul,regvd_structural_local,comment_banner,0.056
3000,97,2783,116,4,0.033680555555555554,0.9603960396039604,0.06507883260650787,0.071,bigvul,regvd_structural_local,control_flow_rewrite,0.0
3000,101,2895,4,0,0.033711615487316424,1.0,0.06522441072005167,0.035,bigvul,regvd_structural_local,dead_branch_after_opening_brace,0.03933333333333333
3000,97,2786,113,4,0.03364550815123136,0.9603960396039604,0.06501340482573728,0.07,bigvul,regvd_structural_local,identifier_renaming,0.007
3000,101,2896,3,0,0.033700367033700364,1.0,0.06520335700451904,0.034666666666666665,bigvul,regvd_structural_local,safe_dead_code_carrier,0.03966666666666667
3000,85,2415,484,16,0.034,0.8415841584158416,0.06535947712418301,0.18966666666666668,bigvul,vulberta_devign_local,blank_line_expansion,0.0
3000,85,2415,484,16,0.034,0.8415841584158416,0.06535947712418301,0.18966666666666668,bigvul,vulberta_devign_local,brace_line_shift,0.0
3000,85,2458,441,16,0.03342508847817539,0.8415841584158416,0.06429652042360061,0.17533333333333334,bigvul,vulberta_devign_local,code_normalization_abstraction,0.015666666666666666
3000,85,2415,484,16,0.034,0.8415841584158416,0.06535947712418301,0.18966666666666668,bigvul,vulberta_devign_local,comment_banner,0.0
3000,85,2415,484,16,0.034,0.8415841584158416,0.06535947712418301,0.18966666666666668,bigvul,vulberta_devign_local,control_flow_rewrite,0.0
3000,88,2591,308,13,0.032848077640910786,0.8712871287128713,0.06330935251798561,0.132,bigvul,vulberta_devign_local,dead_branch_after_opening_brace,0.059666666666666666
3000,81,2276,623,20,0.034365719134493,0.801980198019802,0.0659072416598861,0.23466666666666666,bigvul,vulberta_devign_local,identifier_renaming,0.05366666666666667
3000,91,2645,254,10,0.03326023391812866,0.900990099009901,0.06415227352837505,0.115,bigvul,vulberta_devign_local,safe_dead_code_carrier,0.07866666666666666
2732,1123,1000,477,132,0.5289684408855393,0.8948207171314742,0.664890467732386,0.5856515373352855,codexglue,codebert_devign_local,blank_line_expansion,0.0
2732,1123,1000,477,132,0.5289684408855393,0.8948207171314742,0.664890467732386,0.5856515373352855,codexglue,codebert_devign_local,brace_line_shift,0.0
2732,1140,1034,443,115,0.5243790248390064,0.9083665338645418,0.6649168853893264,0.5794289897510981,codexglue,codebert_devign_local,code_normalization_abstraction,0.018667642752562226
2732,1084,954,523,171,0.5318940137389597,0.8637450199203187,0.6583662313999392,0.5882137628111274,codexglue,codebert_devign_local,comment_banner,0.031112737920937043
2732,1123,1000,477,132,0.5289684408855393,0.8948207171314742,0.664890467732386,0.5856515373352855,codexglue,codebert_devign_local,control_flow_rewrite,0.0
2732,1139,1039,438,116,0.5229568411386594,0.9075697211155378,0.6635595688901835,0.5772327964860908,codexglue,codebert_devign_local,dead_branch_after_opening_brace,0.02013177159590044
2732,1118,1008,469,137,0.5258701787394168,0.8908366533864542,0.6613427979887608,0.5808931185944363,codexglue,codebert_devign_local,identifier_renaming,0.02745241581259151
2732,1148,1061,416,107,0.5196921684019918,0.9147410358565737,0.6628175519630485,0.5724743777452416,codexglue,codebert_devign_local,safe_dead_code_carrier,0.0314787701317716
2732,1255,1477,0,0,0.45937042459736455,1.0,0.6295460245798845,0.45937042459736455,codexglue,linevul_local,blank_line_expansion,0.0
2732,1255,1477,0,0,0.45937042459736455,1.0,0.6295460245798845,0.45937042459736455,codexglue,linevul_local,brace_line_shift,0.0
2732,1255,1477,0,0,0.45937042459736455,1.0,0.6295460245798845,0.45937042459736455,codexglue,linevul_local,code_normalization_abstraction,0.0
2732,1255,1477,0,0,0.45937042459736455,1.0,0.6295460245798845,0.45937042459736455,codexglue,linevul_local,comment_banner,0.0
2732,1255,1477,0,0,0.45937042459736455,1.0,0.6295460245798845,0.45937042459736455,codexglue,linevul_local,control_flow_rewrite,0.0
2732,1255,1477,0,0,0.45937042459736455,1.0,0.6295460245798845,0.45937042459736455,codexglue,linevul_local,dead_branch_after_opening_brace,0.0
2732,1255,1477,0,0,0.45937042459736455,1.0,0.6295460245798845,0.45937042459736455,codexglue,linevul_local,identifier_renaming,0.0
2732,1255,1477,0,0,0.45937042459736455,1.0,0.6295460245798845,0.45937042459736455,codexglue,linevul_local,safe_dead_code_carrier,0.0
