dataset,detector,clean_n,variant_n,clean_precision,clean_recall,clean_f1,clean_accuracy,transformed_f1,flip_rate,vulnerable_flip_rate,nonvulnerable_flip_rate,vulnerable_variant_recall,complete_resistance,worst_transform,worst_transform_flip_rate,prediction_file
bigvul,codebert_devign_local,3000,24000,0.03442940038684719,0.8811881188118812,0.06626954579300073,0.164,0.06556621172998893,0.03741666666666667,0.01608910891089109,0.03815971024491204,0.879950495049505,0.801,comment_banner,0.108,results/credible_local/bigvul/codebert_devign_local_predictions.jsonl
bigvul,linevul_local,3000,24000,0.033779264214046825,1.0,0.06535101908767389,0.037,0.06526392310488267,0.001375,0.0,0.0014229044498102793,1.0,0.997,dead_branch_after_opening_brace,0.003,results/credible_local/bigvul/linevul_local_predictions.jsonl
bigvul,regvd_structural_local,3000,24000,0.033680555555555554,0.9603960396039604,0.06507883260650787,0.071,0.06535295584933899,0.021333333333333333,0.017326732673267328,0.021472921697136944,0.9727722772277227,0.9136666666666666,comment_banner,0.056,results/credible_local/bigvul/regvd_structural_local_predictions.jsonl
bigvul,vulberta_devign_local,3000,24000,0.034,0.8415841584158416,0.06535947712418301,0.18966666666666668,0.06485821142830091,0.025958333333333333,0.01608910891089109,0.02630217316315971,0.8477722772277227,0.8686666666666667,safe_dead_code_carrier,0.07866666666666666,results/credible_local/bigvul/vulberta_devign_local_predictions.jsonl
codexglue,codebert_devign_local,2732,21856,0.5289684408855393,0.8948207171314742,0.664890467732386,0.5856515373352855,0.6632269477408417,0.016105417276720352,0.011752988047808765,0.01980365605958023,0.8962151394422311,0.914714494875549,safe_dead_code_carrier,0.0314787701317716,results/credible_local/codexglue/codebert_devign_local_predictions.jsonl
codexglue,linevul_local,2732,21856,0.45937042459736455,1.0,0.6295460245798845,0.45937042459736455,0.6295460245798845,0.0,0.0,0.0,1.0,1.0,blank_line_expansion,0.0,results/credible_local/codexglue/linevul_local_predictions.jsonl
codexglue,regvd_structural_local,2732,21856,0.4713740458015267,0.9840637450199203,0.6374193548387096,0.4857247437774524,0.6345803065698102,0.015968155197657395,0.007868525896414343,0.022850372376438728,0.9875498007968128,0.9472913616398243,safe_dead_code_carrier,0.03916544655929722,results/credible_local/codexglue/regvd_structural_local_predictions.jsonl
codexglue,vulberta_devign_local,2732,21856,0.5381944444444444,0.8645418326693227,0.6634056863344543,0.5969985358711567,0.6632730588056526,0.01793557833089312,0.013147410358565738,0.022004062288422478,0.8695219123505976,0.9037335285505125,safe_dead_code_carrier,0.05087847730600293,results/credible_local/codexglue/vulberta_devign_local_predictions.jsonl
diversevul,codebert_devign_local,5000,40000,0.05591798695246971,0.933852140077821,0.10551769619696637,0.1862,0.10434261428649269,0.0319,0.00632295719844358,0.033285895003162556,0.931420233463035,0.8342,comment_banner,0.083,results/credible_local/diversevul/codebert_devign_local_predictions.jsonl
diversevul,linevul_local,5000,40000,0.05185633575464084,1.0,0.0985996547093804,0.0602,0.09821812449242823,0.0041,0.0,0.0043221589711153275,1.0,0.991,dead_branch_after_opening_brace,0.0088,results/credible_local/diversevul/linevul_local_predictions.jsonl
diversevul,regvd_structural_local,5000,40000,0.053134080531340805,0.9961089494163424,0.10088669950738917,0.0874,0.10010737992971495,0.0178,0.0014591439688715954,0.018685431161711997,0.997568093385214,0.9354,comment_banner,0.0392,results/credible_local/diversevul/regvd_structural_local_predictions.jsonl
diversevul,vulberta_devign_local,5000,40000,0.056297015287551565,0.9027237354085603,0.10598446779351302,0.2172,0.10421766410624347,0.026825,0.008754863813229572,0.027804132405650432,0.9007782101167315,0.8618,safe_dead_code_carrier,0.0806,results/credible_local/diversevul/vulberta_devign_local_predictions.jsonl
