dataset,detector,transform,f1,balanced_accuracy,mcc,pr_auc,flip_count,flip_n,flip_rate,flip_ci_low,flip_ci_high,mcnemar_clean_only_correct,mcnemar_variant_only_correct,mcnemar_exact_p
bigvul,codebert_devign_local,blank_line_expansion,0.06626954579300075,0.5101007858633397,0.010553964580234667,0.04202058429973146,0,3000,0.0,0.0,0.0012788487253259629,0,0,1.0
bigvul,codebert_devign_local,brace_line_shift,0.06626954579300075,0.5101007858633397,0.010553964580234667,0.04203699319425301,0,3000,0.0,0.0,0.0012788487253259629,0,0,1.0
bigvul,codebert_devign_local,code_normalization_abstraction,0.06426276329882184,0.49538932851546624,-0.005544168999669087,0.04083323238608649,115,3000,0.03833333333333333,0.03203229760214456,0.045815172720906405,114,1,5.585196838722984e-33
bigvul,codebert_devign_local,comment_banner,0.06943268416596104,0.5301213460428486,0.025218349847908467,0.048828427727129094,324,3000,0.108,0.09739048149367811,0.11961213590697743,7,317,4.168617120956017e-84
bigvul,codebert_devign_local,control_flow_rewrite,0.06626954579300075,0.5101007858633397,0.010553964580234667,0.0420248055871959,0,3000,0.0,0.0,0.0012788487253259629,0,0,1.0
bigvul,codebert_devign_local,dead_branch_after_opening_brace,0.06341463414634146,0.4886116414332016,-0.015410206380648116,0.045322860797378156,184,3000,0.06133333333333333,0.05329548344499248,0.07049315983669349,182,2,1.388340091872536e-51
bigvul,codebert_devign_local,identifier_renaming,0.06624488276888724,0.509928312596696,0.010384265944698393,0.04102162224178996,51,3000,0.017,0.012953739842509027,0.02228162802615586,26,25,1.0
bigvul,codebert_devign_local,safe_dead_code_carrier,0.06323024054982818,0.4868356790836034,-0.019450048915256476,0.045298582158614716,224,3000,0.07466666666666667,0.06579500409098284,0.08462620322469445,221,3,1.3897839065703165e-61
bigvul,linevul_local,blank_line_expansion,0.06535101908767389,0.5017247326664367,0.01079446158343832,0.03554239839569242,0,3000,0.0,0.0,0.0012788487253259629,0,0,1.0
bigvul,linevul_local,brace_line_shift,0.06530876172001293,0.5013797861331494,0.00965163252130231,0.0375992183526277,2,3000,0.0006666666666666666,0.00018284308780954395,0.0024276338392159843,2,0,0.5
bigvul,linevul_local,code_normalization_abstraction,0.06524547803617571,0.5008623663332183,0.007626463007189881,0.03554166135802074,5,3000,0.0016666666666666668,0.0007121039409388155,0.0038958152886360603,5,0,0.0625
bigvul,linevul_local,comment_banner,0.06518231687641174,0.5003449465332873,0.004820984806484095,0.0348456394505181,8,3000,0.0026666666666666666,0.0013518647401935516,0.005253496791930672,8,0,0.0078125
bigvul,linevul_local,control_flow_rewrite,0.06535101908767389,0.5017247326664367,0.01079446158343832,0.03554239839569242,0,3000,0.0,0.0,0.0012788487253259629,0,0,1.0
bigvul,linevul_local,dead_branch_after_opening_brace,0.06516129032258064,0.5001724732666437,0.003408382653318767,0.03484541663449117,9,3000,0.003,0.0015791325142942543,0.005692043118679753,9,0,0.00390625
bigvul,linevul_local,identifier_renaming,0.06535101908767389,0.5017247326664367,0.01079446158343832,0.03733256530061044,0,3000,0.0,0.0,0.0012788487253259629,0,0,1.0
bigvul,linevul_local,safe_dead_code_carrier,0.06516129032258064,0.5001724732666437,0.003408382653318767,0.03484541663449117,9,3000,0.003,0.0015791325142942543,0.005692043118679753,9,0,0.00390625
bigvul,regvd_structural_local,blank_line_expansion,0.06516627477326167,0.5008948117992206,0.0016215905656285054,0.036571208668033074,6,3000,0.002,0.0009169302695833242,0.004356803060841335,1,5,0.21875
bigvul,regvd_structural_local,brace_line_shift,0.06582965727858839,0.5060690097985308,0.009920985630590731,0.03800613017494067,48,3000,0.016,0.012089359129497934,0.021148566436617597,7,41,6.240408438884516e-07
bigvul,regvd_structural_local,code_normalization_abstraction,0.0647313980647314,0.4974453464663472,-0.005037683172063154,0.03543827941688756,32,3000,0.010666666666666666,0.007565902880806795,0.015018997071712215,24,8,0.0070003666914999485
bigvul,regvd_structural_local,comment_banner,0.06659939455095863,0.5118306414980925,0.02111669182085596,0.042507972613128386,168,3000,0.056,0.048325996782823774,0.06480962088526568,78,90,0.3961333413963789
bigvul,regvd_structural_local,control_flow_rewrite,0.06507883260650789,0.5002049187326459,0.0003772329193596084,0.037205804332293646,0,3000,0.0,0.0,0.0012788487253259629,0,0,1.0
bigvul,regvd_structural_local,dead_branch_after_opening_brace,0.06522441072005167,0.5006898930665746,0.006820177385923512,0.04157422303725637,118,3000,0.03933333333333333,0.032946072721804866,0.046898839903795446,113,5,1.1008568075907249e-27
bigvul,regvd_structural_local,identifier_renaming,0.06501340482573727,0.4996874989327149,-0.0005823057024120953,0.03853749470830088,21,3000,0.007,0.00458305171480416,0.01067789312836724,12,9,0.6636238098144531
bigvul,regvd_structural_local,safe_dead_code_carrier,0.06520335700451904,0.500517419799931,0.0059054613991082645,0.04836963796347997,119,3000,0.03966666666666667,0.03325093387303913,0.04725979285341098,114,5,5.743453631889443e-28
bigvul,vulberta_devign_local,blank_line_expansion,0.06535947712418301,0.5042691402634571,0.004132379587335696,0.037889497315820066,0,3000,0.0,0.0,0.0012788487253259629,0,0,1.0
bigvul,vulberta_devign_local,brace_line_shift,0.06535947712418301,0.5042691402634571,0.004132379587335696,0.037889497315820066,0,3000,0.0,0.0,0.0012788487253259629,0,0,1.0
bigvul,vulberta_devign_local,code_normalization_abstraction,0.06429652042360061,0.49685278979777936,-0.0031594338040531267,0.037065717327306916,47,3000,0.015666666666666666,0.011802189856305195,0.020769921608960556,45,2,1.6044054973463062e-11
bigvul,vulberta_devign_local,comment_banner,0.06535947712418301,0.5042691402634571,0.004132379587335696,0.03788769856454956,0,3000,0.0,0.0,0.0012788487253259629,0,0,1.0
bigvul,vulberta_devign_local,control_flow_rewrite,0.06535947712418301,0.5042691402634571,0.004132379587335696,0.03788505316827917,0,3000,0.0,0.0,0.0012788487253259629,0,0,1.0
bigvul,vulberta_devign_local,dead_branch_after_opening_brace,0.06330935251798561,0.48876533048268606,-0.013111012118923768,0.03700820166068218,179,3000,0.059666666666666666,0.05174044596227689,0.06871912681516017,176,3,2.4953808334341238e-48
bigvul,vulberta_devign_local,identifier_renaming,0.06590724165988608,0.5084409441289076,0.007420284181361586,0.03624864525674887,161,3000,0.05366666666666667,0.046158219029586604,0.06231669993255436,13,148,3.571991065704909e-30
bigvul,vulberta_devign_local,safe_dead_code_carrier,0.06415227352837505,0.4943032592324427,-0.007254061570575546,0.03650501027202662,236,3000,0.07866666666666666,0.0695629258018802,0.08884805072399449,230,6,4.184537918316863e-60
codexglue,codebert_devign_local,blank_line_expansion,0.664890467732386,0.6088863233592374,0.2607544906974264,0.6338821720728782,0,2732,0.0,0.0,0.0014041233304323182,0,0,1.0
codexglue,codebert_devign_local,brace_line_shift,0.664890467732386,0.6088863233592374,0.2607544906974264,0.6338611923759921,0,2732,0.0,0.0,0.0014041233304323182,0,0,1.0
