dataset,detector,clean_f1,variant_f1,f1_drop,f1_drop_ci_low,f1_drop_ci_high,clean_balanced_accuracy,variant_balanced_accuracy,balanced_accuracy_drop,balanced_accuracy_drop_ci_low,balanced_accuracy_drop_ci_high,clean_mcc,variant_mcc,clean_pr_auc,variant_pr_auc,flip_count,flip_n,flip_rate,flip_ci_low,flip_ci_high,mcnemar_clean_only_correct,mcnemar_variant_only_correct,mcnemar_exact_p
bigvul,codebert_devign_local,0.06626954579300075,0.06556621172998893,0.0007033340630118179,-0.00026029853104800034,0.0016432676721650106,0.5101007858633397,0.5051485831577294,0.004952202705610365,-0.0019623288278700856,0.010857924245969397,0.010553964580234667,0.005522681081489292,0.04203622977848816,0.042062977462694835,898,24000,0.03741666666666667,0.035088736110298085,0.03989265642674128,550,348,1.6354053097530256e-11
bigvul,linevul_local,0.06535101908767389,0.06526392310488267,8.709598279121877e-05,4.2006226671319204e-05,0.0001462382152854734,0.5017247326664367,0.5010132804415316,0.0007114522249050959,0.0003435653583487186,0.0011762699607727578,0.01079446158343832,0.00826809676923828,0.03554239839569242,0.03564749109741925,33,24000,0.001375,0.0009792836693601407,0.0019303114027665116,33,0,2.3283064365386963e-10
bigvul,regvd_structural_local,0.06507883260650789,0.06535295584933899,-0.00027412324283110356,-0.001481804997098918,0.0006771597650892307,0.5002049187326459,0.5021674425117572,-0.001962523779111214,-0.010762741957987241,0.005038362561884942,0.0003772329193596084,0.004482213866526781,0.03721263018826743,0.03753363569210397,512,24000,0.021333333333333333,0.019580423807477786,0.02323944986082596,349,163,1.3626808355844428e-16
bigvul,vulberta_devign_local,0.06535947712418301,0.06485821142830091,0.0005012656958821027,-0.0003996766895077213,0.0012327530280168445,0.5042691402634571,0.5006798605869556,0.0035892796765015778,-0.0021867853778253094,0.008079342095942925,0.004132379587335696,0.0006802953190183637,0.037889497315820066,0.036352029655790756,623,24000,0.025958333333333333,0.02402119786503888,0.028047195477953087,464,159,1.5262266214955818e-35
codexglue,codebert_devign_local,0.664890467732386,0.6632269477408418,0.0016635199915442378,7.656616762775072e-05,0.00366845792029391,0.6088863233592374,0.6055212460921379,0.003365077267099559,0.0011989136434215676,0.005921431185400642,0.2607544906974264,0.2547742072911909,0.6338806384007651,0.6327458594619499,352,21856,0.016105417276720352,0.014519562138134625,0.0178613432839892,217,135,1.4529850761588254e-05
codexglue,linevul_local,0.6295460245798846,0.6295460245798846,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.46339036155777985,0.4645411507517392,0,21856,0.0,0.0,0.00017573132119602143,0,0,1.0
codexglue,regvd_structural_local,0.6374193548387097,0.6345803065698102,0.002839048268899469,0.0014933075078955222,0.004342476285952238,0.5231760837489582,0.5158635936956305,0.00731249005332768,0.005093164986522183,0.009480950266949655,0.11649908135980201,0.09328706614972393,0.5510175403857197,0.5382697886571157,349,21856,0.015968155197657395,0.01438932418663823,0.017717105319852686,264,85,1.7638223025510451e-22
codexglue,vulberta_devign_local,0.6634056863344543,0.6632730588056527,0.00013262752880160988,-0.0011887584598766071,0.0018500827590946733,0.6171050395574101,0.6151096359315615,0.001995403625848602,4.705220519357624e-05,0.004074463053350329,0.2654091653940618,0.2632435099534059,0.6517001210984342,0.6498421396271823,392,21856,0.01793557833089312,0.016258903723928762,0.019781680573300493,224,168,0.005403941918878165
diversevul,codebert_devign_local,0.10551769619696637,0.10434261428649268,0.001175081910473691,0.0007576064344744938,0.0017504964212862791,0.5397702614789274,0.534350745025846,0.005419516453081363,0.0032083234081468543,0.007943008661351683,0.050377322388056214,0.04456775489182379,0.061463273111128244,0.0613519680706061,1276,40000,0.0319,0.0302222862930914,0.03366761441686007,800,476,9.80474563296012e-20
diversevul,linevul_local,0.0985996547093804,0.09821812449242823,0.0003815302169521695,0.000279351968870991,0.00048372721997315995,0.5046384145055872,0.5025036896479022,0.0021347248576850664,0.0015767961664384961,0.002691511057969559,0.021933133837686088,0.016081283602226708,0.06857580396472084,0.06841902179864576,164,40000,0.0041,0.003519634915481756,0.004775604909480713,163,1,1.4112197669286793e-47
diversevul,regvd_structural_local,0.10088669950738917,0.10010737992971495,0.0007793195776742146,0.00037159343156169846,0.001064609848028256,0.5171352252879731,0.5129496591741588,0.004185566113814265,0.0022402599175655596,0.005639723702480182,0.040405812722415786,0.035283621236125516,0.06757068955000166,0.06824650798703116,712,40000,0.0178,0.01654976901765692,0.019142839660699403,541,171,1.3776050180450261e-45
diversevul,vulberta_devign_local,0.10598446779351302,0.10421766410624349,0.0017668036872695303,0.001168188262768351,0.0023685059257488555,0.5413892765172678,0.5335511333105268,0.007838143206740922,0.005254209678485197,0.010174620055140601,0.04801923200300902,0.040127115277993945,0.06824559335910113,0.06705090311117429,1073,40000,0.026825,0.025286488143919254,0.02845438724260347,799,274,4.767229991022982e-60
