detector,cwe,pairs,vdcp,mean_score_margin,score_tie_rate,decision_pair_success
VulBERTa-public,CWE606,12,0.75,0.0786504540592432,0.0,0.0
VulBERTa-public,CWE126,11,0.45454545454545453,-0.12161932614716617,0.0,0.09090909090909091
VulBERTa-public,CWE15,11,1.0,0.1988269964402372,0.0,0.0
VulBERTa-public,CWE194,11,0.45454545454545453,-0.1006563925607638,0.0,0.0
VulBERTa-public,CWE563,11,0.45454545454545453,-0.005876714871688323,0.0,0.0
VulBERTa-public,CWE590,11,0.0,-0.17522018978541548,0.0,0.0
VulBERTa-public,CWE591,11,0.6363636363636364,0.07728869400241158,0.0,0.0
VulBERTa-public,CWE680,11,0.09090909090909091,-0.2423533804037354,0.0,0.09090909090909091
VulBERTa-public,CWE775,11,0.6363636363636364,0.00789722732522271,0.0,0.09090909090909091
VulBERTa-public,CWE123,10,0.2,-0.14930444955825806,0.0,0.1
VulBERTa-public,CWE124,10,0.5,-0.11381140351295471,0.0,0.0
VulBERTa-public,CWE415,10,0.2,-0.26036230474710464,0.0,0.1
VulBERTa-public,CWE588,10,0.1,-0.06863956972956657,0.0,0.0
VulBERTa-public,CWE675,10,0.5,-0.07381061874330044,0.0,0.2
VulBERTa-public,CWE690,10,0.3,-0.12305420003831387,0.0,0.0
VulBERTa-public,CWE773,10,0.9,0.052603944391012195,0.0,0.0
VulBERTa-public,CWE78,10,0.9,0.11155212670564651,0.0,0.0
VulBERTa-public,CWE114,9,0.8888888888888888,0.11737409399615394,0.0,0.0
VulBERTa-public,CWE122,9,0.1111111111111111,-0.14407430009709465,0.0,0.0
VulBERTa-public,CWE259,9,0.2222222222222222,-0.04837541530529658,0.0,0.0
VulBERTa-public,CWE400,9,0.7777777777777778,0.13821401198705038,0.0,0.2222222222222222
VulBERTa-public,CWE761,9,0.6666666666666666,0.048901517358091146,0.0,0.1111111111111111
VulBERTa-public,CWE90,9,0.5555555555555556,0.025492402000559702,0.0,0.0
VulBERTa-public,CWE134,8,1.0,0.1883997954428196,0.0,0.0
VulBERTa-public,CWE176,8,0.0,-0.17538823746144772,0.0,0.0
VulBERTa-public,CWE256,8,0.125,-0.19538363628089428,0.0,0.0
VulBERTa-public,CWE319,8,0.75,0.0731028625741601,0.0,0.0
VulBERTa-public,CWE321,8,0.25,-0.18230588547885418,0.0,0.0
VulBERTa-public,CWE401,8,0.5,-0.006592821329832077,0.0,0.0
VulBERTa-public,CWE416,8,0.0,-0.3414937611669302,0.0,0.0
VulBERTa-public,CWE426,8,0.375,-0.021814177744090557,0.0,0.0
VulBERTa-public,CWE457,8,0.0,-0.17235234566032887,0.0,0.0
VulBERTa-public,CWE789,8,0.625,-0.01647233869880438,0.0,0.0
VulBERTa-public,CWE843,8,0.125,-0.16357696568593383,0.0,0.0
VulBERTa-public,CWE121,7,0.2857142857142857,-0.32287740388086866,0.0,0.0
VulBERTa-public,CWE190,7,0.42857142857142855,-0.07908900614295687,0.0,0.0
VulBERTa-public,CWE191,7,0.42857142857142855,0.18929338401981763,0.0,0.2857142857142857
VulBERTa-public,CWE195,7,0.8571428571428571,0.13433056165065085,0.0,0.14285714285714285
