dataset,detector,transform,n,precision,recall,f1,balanced_accuracy,mcc,pr_auc,flip_rate,flip_ci_low,flip_ci_high,flip_count,flip_n
codexglue_512origins_stratified,vulberta_mlp_devign,blank_line_expansion,512,0.6303317535545023,0.51953125,0.569593147751606,0.607421875,0.21824194025978677,0.6723890538001662,0.0,0.0,0.007446975722882736,0,512
codexglue_512origins_stratified,vulberta_mlp_devign,brace_line_shift,512,0.6303317535545023,0.51953125,0.569593147751606,0.607421875,0.21824194025978677,0.6723890538001662,0.0,0.0,0.007446975722882736,0,512
codexglue_512origins_stratified,vulberta_mlp_devign,code_normalization_abstraction,512,0.6363636363636364,0.51953125,0.5720430107526882,0.611328125,0.22650635865920254,0.6729926732534819,0.0234375,0.013457118668315029,0.04051578006755757,12,512
codexglue_512origins_stratified,vulberta_mlp_devign,comment_banner,512,0.6264367816091954,0.42578125,0.5069767441860465,0.5859375,0.1814344289725499,0.6264238445178669,0.146484375,0.11849018678166365,0.1797438077724058,75,512
codexglue_512origins_stratified,vulberta_mlp_devign,control_flow_rewrite,512,0.6303317535545023,0.51953125,0.569593147751606,0.607421875,0.21824194025978677,0.6722437111723267,0.0,0.0,0.007446975722882736,0,512
codexglue_512origins_stratified,vulberta_mlp_devign,dead_branch_after_opening_brace,512,0.6327433628318584,0.55859375,0.5933609958506224,0.6171875,0.23600109294981458,0.6685978098584426,0.142578125,0.11494999485726655,0.17552967919463788,73,512
codexglue_512origins_stratified,vulberta_mlp_devign,identifier_renaming,512,0.6197183098591549,0.34375,0.44221105527638194,0.56640625,0.1483316688172656,0.6360117048472435,0.154296875,0.12559227091966385,0.18815036463873552,79,512
codexglue_512origins_stratified,vulberta_mlp_devign,safe_dead_code_carrier,512,0.6396396396396397,0.5546875,0.5941422594142259,0.62109375,0.24435217176426913,0.6704479722401573,0.138671875,0.11141736019861744,0.17130799335112204,71,512
codexglue_512origins_stratified,linevul_mickymike,blank_line_expansion,512,0.3333333333333333,0.00390625,0.007722007722007722,0.498046875,-0.02559060076303854,0.4981969315546205,0.00390625,0.0010718890803936695,0.014129407144654046,2,512
codexglue_512origins_stratified,linevul_mickymike,brace_line_shift,512,0.5,0.00390625,0.007751937984496124,0.5,0.0,0.5029270799283884,0.001953125,0.000344857761543374,0.010979278212421851,1,512
codexglue_512origins_stratified,linevul_mickymike,code_normalization_abstraction,512,0.0,0.0,0.0,0.498046875,-0.04423739552038088,0.5019270317632805,0.0,0.0,0.007446975722882736,0,512
codexglue_512origins_stratified,linevul_mickymike,comment_banner,512,0.3333333333333333,0.00390625,0.007722007722007722,0.498046875,-0.02559060076303854,0.5018925405239423,0.00390625,0.0010718890803936695,0.014129407144654046,2,512
codexglue_512origins_stratified,linevul_mickymike,control_flow_rewrite,512,0.0,0.0,0.0,0.498046875,-0.04423739552038088,0.5139132107526134,0.0,0.0,0.007446975722882736,0,512
codexglue_512origins_stratified,linevul_mickymike,dead_branch_after_opening_brace,512,0.45454545454545453,0.0390625,0.07194244604316546,0.49609375,-0.019262853213235488,0.4966230410637561,0.041015625,0.026980948956081576,0.06188639203953343,21,512
codexglue_512origins_stratified,linevul_mickymike,identifier_renaming,512,0.3333333333333333,0.00390625,0.007722007722007722,0.498046875,-0.02559060076303854,0.5024080455494896,0.00390625,0.0010718890803936695,0.014129407144654046,2,512
codexglue_512origins_stratified,linevul_mickymike,safe_dead_code_carrier,512,0.45,0.03515625,0.06521739130434782,0.49609375,-0.020161945963637795,0.4994961817710226,0.037109375,0.023883775518617992,0.05722924497483203,19,512
codexglue_512origins_stratified,regvd_official_512_subset,blank_line_expansion,512,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.007446975722882736,0,512
codexglue_512origins_stratified,regvd_official_512_subset,brace_line_shift,512,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.007446975722882736,0,512
codexglue_512origins_stratified,regvd_official_512_subset,code_normalization_abstraction,512,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.007446975722882736,0,512
codexglue_512origins_stratified,regvd_official_512_subset,comment_banner,512,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.007446975722882736,0,512
codexglue_512origins_stratified,regvd_official_512_subset,control_flow_rewrite,512,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.007446975722882736,0,512
codexglue_512origins_stratified,regvd_official_512_subset,dead_branch_after_opening_brace,512,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.007446975722882736,0,512
codexglue_512origins_stratified,regvd_official_512_subset,identifier_renaming,512,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.007446975722882736,0,512
codexglue_512origins_stratified,regvd_official_512_subset,safe_dead_code_carrier,512,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.007446975722882736,0,512
