detector,strategy,threshold,coverage,n,precision,recall,f1,balanced_accuracy,mcc
VulBERTa-public,original_fixed_0.5,0.5,1.0,2732,0.6271028037383177,0.5346613545816733,0.5772043010752688,0.6322595872434433,0.2700609995168829
VulBERTa-public,original_clean_f1_calibrated,0.08049174075663389,1.0,2732,0.5408261287223823,0.8972111553784861,0.6748576565777644,0.6249766000318293,0.2925322630483367
VulBERTa-public,max_risk_fixed_0.5,0.5,1.0,2732,0.5878084179970973,0.6454183266932271,0.6152677554120775,0.6304275113493217,0.2600024096691921
VulBERTa-public,mean_probability_fixed_0.5,0.5,1.0,2732,0.6333656644034917,0.5203187250996016,0.5713035870516185,0.6321972772417439,0.27182107595529587
VulBERTa-public,mean_probability_clean_f1_calibrated,0.08372095895031435,1.0,2732,0.5347319347319347,0.9139442231075697,0.6747058823529412,0.6191251244176982,0.289076491168919
VulBERTa-public,mean_logit_clean_f1_calibrated,0.08259081882209508,1.0,2732,0.5354960037611659,0.9075697211155378,0.6735659373151981,0.6193231137737473,0.28642126060604445
VulBERTa-public,majority_vote,0.5,1.0,2732,0.6261770244821092,0.5298804780876494,0.5740181268882175,0.6305461970668443,0.266922901595895
VulBERTa-public,selective_abstain_on_disagreement,0.5,0.6939970717423133,1896,0.6697416974169742,0.44925742574257427,0.5377777777777778,0.6423676834595224,0.31163954869410954
LineVul-public,original_fixed_0.5,0.5,1.0,2732,0.6153846153846154,0.006374501992031873,0.012618296529968454,0.5014946308199835,0.021647101806862565
LineVul-public,original_clean_f1_calibrated,1.2448183440350944e-05,1.0,2732,0.4602941176470588,0.9976095617529881,0.629937106918239,0.5018514971933525,0.02790551804221073
LineVul-public,max_risk_fixed_0.5,0.5,1.0,2732,0.5172413793103449,0.07171314741035857,0.12596221133659902,0.5074205547478333,0.030286813663733165
LineVul-public,mean_probability_fixed_0.5,0.5,1.0,2732,0.6153846153846154,0.006374501992031873,0.012618296529968454,0.5014946308199835,0.021647101806862565
LineVul-public,mean_probability_clean_f1_calibrated,1.3072426492625609e-05,1.0,2732,0.45950897764748994,0.999203187250996,0.6295180722891566,0.500278641695911,0.008385439226941023
LineVul-public,mean_logit_clean_f1_calibrated,1.3071954217213905e-05,1.0,2732,0.45950897764748994,0.999203187250996,0.6295180722891566,0.500278641695911,0.008385439226941023
LineVul-public,majority_vote,0.5,1.0,2732,0.6428571428571429,0.007171314741035857,0.014184397163120567,0.5018930371944854,0.026424848695036928
LineVul-public,selective_abstain_on_disagreement,0.5,0.9385065885797951,2564,0.6666666666666666,0.003421727972626176,0.006808510638297872,0.5009940181081769,0.020492396762846837
