detector,transform,mean_score_delta,median_score_delta,mean_abs_score_delta
VulBERTa-public,blank_line_expansion,4.0907287318395836e-11,0.0,9.817748956415001e-11
VulBERTa-public,brace_line_shift,-1.7726491171304862e-11,0.0,1.7317418298120904e-10
VulBERTa-public,code_normalization_abstraction,0.0021449516140099063,0.0,0.017632049119091792
VulBERTa-public,comment_banner,-0.06302895507056643,-0.007191061973571777,0.10947839332346315
VulBERTa-public,control_flow_rewrite,-1.5691634523920924e-05,0.0,5.1286764235657095e-05
VulBERTa-public,dead_branch_after_opening_brace,0.006664751829800372,0.008490409702062607,0.10872167461356734
VulBERTa-public,identifier_renaming,-0.10996961269574035,-0.019991831853985786,0.12355586218867194
VulBERTa-public,safe_dead_code_carrier,0.004248657306086267,0.011266764253377914,0.11096161570247279
LineVul-public,blank_line_expansion,0.0008072795978909541,0.0,0.0016850192324024725
LineVul-public,brace_line_shift,0.00017406552480890965,0.0,0.0017283460025574982
LineVul-public,code_normalization_abstraction,-0.00017611104750980074,0.0,0.00029623982257297263
LineVul-public,comment_banner,-0.0005039425839066306,9.044197213370353e-08,0.00273139800584354
LineVul-public,control_flow_rewrite,0.00020174672026249926,0.0,0.00020174672029578972
LineVul-public,dead_branch_after_opening_brace,0.03923194919711046,6.91403465680196e-05,0.0411183572411519
LineVul-public,identifier_renaming,0.00022131931098084986,0.0,0.0023715800258835972
LineVul-public,safe_dead_code_carrier,0.04891731672716432,0.00011438764431659365,0.0506035995235541
