dataset,detector,transform,n,precision,recall,f1,balanced_accuracy,mcc,pr_auc,flip_rate,flip_count,flip_n
codexglue_120origins_slice,vulberta_mlp_devign_public,blank_line_expansion,120,0.725,0.5370370370370371,0.6170212765957447,0.6851851851851852,0.3908679799852858,0.7504960998406932,0.0,0,120
codexglue_120origins_slice,vulberta_mlp_devign_public,brace_line_shift,120,0.725,0.5370370370370371,0.6170212765957447,0.6851851851851852,0.3908679799852858,0.7504960998406932,0.0,0,120
codexglue_120origins_slice,vulberta_mlp_devign_public,code_normalization_abstraction,120,0.7073170731707317,0.5370370370370371,0.6105263157894737,0.6776094276094277,0.37261418501703536,0.7339086479261687,0.025,3,120
codexglue_120origins_slice,vulberta_mlp_devign_public,comment_banner,120,0.7142857142857143,0.37037037037037035,0.4878048780487805,0.6245791245791246,0.29306988152175045,0.7102439167217136,0.1,12,120
codexglue_120origins_slice,vulberta_mlp_devign_public,control_flow_rewrite,120,0.725,0.5370370370370371,0.6170212765957447,0.6851851851851852,0.3908679799852858,0.7497649368288285,0.0,0,120
codexglue_120origins_slice,vulberta_mlp_devign_public,dead_branch_after_opening_brace,120,0.7441860465116279,0.5925925925925926,0.6597938144329897,0.712962962962963,0.44189932023991346,0.7685167969045932,0.10833333333333334,13,120
codexglue_120origins_slice,vulberta_mlp_devign_public,identifier_renaming,120,0.72,0.3333333333333333,0.45569620253164556,0.6136363636363636,0.2784097012003857,0.7144516920767626,0.14166666666666666,17,120
codexglue_120origins_slice,vulberta_mlp_devign_public,safe_dead_code_carrier,120,0.6666666666666666,0.5185185185185185,0.5833333333333334,0.6531986531986531,0.3195816569607349,0.738335056958191,0.15,18,120
codexglue_120origins_slice,linevul_mickymike_public,blank_line_expansion,120,1.0,0.018518518518518517,0.03636363636363636,0.5092592592592593,0.10134483201751004,0.44295790984070244,0.0,0,120
codexglue_120origins_slice,linevul_mickymike_public,brace_line_shift,120,1.0,0.018518518518518517,0.03636363636363636,0.5092592592592593,0.10134483201751004,0.44576832553423246,0.0,0,120
codexglue_120origins_slice,linevul_mickymike_public,code_normalization_abstraction,120,1.0,0.018518518518518517,0.03636363636363636,0.5092592592592593,0.10134483201751004,0.44403343408378493,0.0,0,120
codexglue_120origins_slice,linevul_mickymike_public,comment_banner,120,0.0,0.0,0.0,0.5,0.0,0.4773500761507231,0.008333333333333333,1,120
codexglue_120origins_slice,linevul_mickymike_public,control_flow_rewrite,120,1.0,0.018518518518518517,0.03636363636363636,0.5092592592592593,0.10134483201751004,0.43402839393281806,0.0,0,120
codexglue_120origins_slice,linevul_mickymike_public,dead_branch_after_opening_brace,120,0.5714285714285714,0.07407407407407407,0.13114754098360656,0.5143097643097643,0.06074955238754337,0.49594446973924056,0.05,6,120
codexglue_120origins_slice,linevul_mickymike_public,identifier_renaming,120,1.0,0.018518518518518517,0.03636363636363636,0.5092592592592593,0.10134483201751004,0.4402560353788249,0.0,0,120
codexglue_120origins_slice,linevul_mickymike_public,safe_dead_code_carrier,120,0.3,0.05555555555555555,0.09375,0.47474747474747475,-0.09090909090909091,0.4631686015313674,0.075,9,120
