tokenizer,transform,n,mean_tokens,truncated_n,truncated_rate,flip_rate_truncated_rows_across_public_detectors,flip_rate_nontruncated_rows_across_public_detectors
VulBERTa-tokenizer,blank_line_expansion,2732,362.01756954612006,734,0.2686676427525622,0.0006811989100817438,0.0007507507507507507
VulBERTa-tokenizer,brace_line_shift,2732,362.0193997071742,734,0.2686676427525622,0.0013623978201634877,0.0005005005005005005
VulBERTa-tokenizer,code_normalization_abstraction,2732,363.41727672035137,735,0.26903367496339675,0.022448979591836733,0.008763144717075613
VulBERTa-tokenizer,comment_banner,2732,374.5230600292826,751,0.2748901903367496,0.06524633821571238,0.06612821807168097
VulBERTa-tokenizer,control_flow_rewrite,2732,362.0190336749634,734,0.2686676427525622,0.0,0.0
VulBERTa-tokenizer,dead_branch_after_opening_brace,2732,382.5384333821376,767,0.28074670571010246,0.09256844850065189,0.08142493638676845
VulBERTa-tokenizer,identifier_renaming,2732,376.52489019033675,769,0.2814787701317716,0.06957087126137841,0.07514009169638308
VulBERTa-tokenizer,original,2732,362.0190336749634,734,0.2686676427525622,0,0
VulBERTa-tokenizer,safe_dead_code_carrier,2732,386.0984626647145,778,0.2847730600292826,0.10025706940874037,0.08776867963152507
LineVul-tokenizer,blank_line_expansion,2732,1099.234260614934,1350,0.49414348462664714,0.0014814814814814814,0.0
LineVul-tokenizer,brace_line_shift,2732,1099.3484626647146,1351,0.4945095168374817,0.0014803849000740192,0.0
LineVul-tokenizer,code_normalization_abstraction,2732,1101.2972181551977,1355,0.4959736456808199,0.01808118081180812,0.006899055918663762
LineVul-tokenizer,comment_banner,2732,1112.2379209370424,1372,0.5021961932650073,0.059402332361516035,0.0724264705882353
LineVul-tokenizer,control_flow_rewrite,2732,1100.1742313323573,1352,0.49487554904831627,0.0,0.0
LineVul-tokenizer,dead_branch_after_opening_brace,2732,1130.188140556369,1402,0.513177159590044,0.08166904422253923,0.08759398496240602
LineVul-tokenizer,identifier_renaming,2732,1123.1185944363103,1384,0.5065885797950219,0.07117052023121387,0.07603857566765579
LineVul-tokenizer,original,2732,1100.2379209370424,1352,0.49487554904831627,0,0
LineVul-tokenizer,safe_dead_code_carrier,2732,1139.188140556369,1415,0.5179355783308931,0.09010600706713781,0.0926347760060744
