dataset,detector,transform,n,precision,recall,f1,balanced_accuracy,mcc,pr_auc,flip_rate,flip_ci_low,flip_ci_high,flip_count,flip_n
codexglue_512_reviewer_probes,codebert_devign_local,comp_dead_branch__identifier_renaming__brace_line_shift,512,0.571078431372549,0.91015625,0.7018072289156626,0.61328125,0.2815666685504738,0.6927692670991958,0.0390625,0.0254270798652394,0.05956310087929312,20,512
codexglue_512_reviewer_probes,codebert_devign_local,comp_identifier_renaming__brace_line_shift,512,0.5764411027568922,0.8984375,0.7022900763358778,0.619140625,0.2872791885605491,0.692822237281538,0.025390625,0.014897398253755445,0.042952660733199644,13,512
codexglue_512_reviewer_probes,codebert_devign_local,comp_identifier_renaming__comment_banner,512,0.578125,0.8671875,0.69375,0.6171875,0.2706329386826371,0.6804453238286023,0.046875,0.031699460685993844,0.06879936106286863,24,512
codexglue_512_reviewer_probes,codebert_devign_local,comp_safe_dead_code__code_normalization,512,0.5656324582338902,0.92578125,0.7022222222222222,0.607421875,0.2786212291066537,0.6918780570708825,0.044921875,0.030117718759024466,0.06650394273875551,23,512
codexglue_512_reviewer_probes,codebert_devign_local,identifier_renaming_fresh_marker,512,0.5764411027568922,0.8984375,0.7022900763358778,0.619140625,0.2872791885605491,0.692894219541762,0.025390625,0.014897398253755445,0.042952660733199644,13,512
codexglue_512_reviewer_probes,codebert_devign_local,identifier_renaming_in_vocab,512,0.5534441805225653,0.91015625,0.6883308714918759,0.587890625,0.22990624575140223,0.7034132431764197,0.052734375,0.036492305788731,0.07563799671337894,27,512
codexglue_512_reviewer_probes,codebert_devign_local,identifier_renaming_project_style,512,0.5753768844221105,0.89453125,0.7003058103975535,0.6171875,0.2816808280046399,0.6928230406570307,0.02734375,0.016356725239303357,0.045370493998734225,14,512
codexglue_512_reviewer_probes,vulberta_devign_local,comp_dead_branch__identifier_renaming__brace_line_shift,512,0.582901554404145,0.87890625,0.7009345794392523,0.625,0.2902024329551697,0.6532927566371294,0.05078125,0.03488718106757214,0.07336596118345531,26,512
codexglue_512_reviewer_probes,vulberta_devign_local,comp_identifier_renaming__brace_line_shift,512,0.5853658536585366,0.84375,0.6912,0.623046875,0.2742580271594031,0.6540041926411926,0.041015625,0.02698094895608158,0.06188639203953343,21,512
codexglue_512_reviewer_probes,vulberta_devign_local,comp_identifier_renaming__comment_banner,512,0.5853658536585366,0.84375,0.6912,0.623046875,0.2742580271594031,0.6540041926411926,0.041015625,0.02698094895608158,0.06188639203953343,21,512
codexglue_512_reviewer_probes,vulberta_devign_local,comp_safe_dead_code__code_normalization,512,0.5752427184466019,0.92578125,0.7095808383233533,0.62109375,0.3054520762309309,0.6684660543934305,0.0625,0.044616596493491256,0.08689950726403115,32,512
