dataset,idx,variant_id,transform,target,validation_note,semantic_decision,syntax_risk,audit_rationale,changed,line_count,char_count,code_hash
codexglue,6186,6186__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,preserved,low,Adds whitespace after semicolon-terminated statements; no token-level control or data dependency is introduced.,True,289,5930,c4f214e91fc9
codexglue,5718,5718__blank_line_expansion,blank_line_expansion,1,blank lines inserted after semicolons,preserved,low,Adds whitespace after semicolon-terminated statements; no token-level control or data dependency is introduced.,True,33,550,9618e826b388
codexglue,14108,14108__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,preserved,low,Adds whitespace after semicolon-terminated statements; no token-level control or data dependency is introduced.,True,69,1097,eacfc564e066
codexglue,5762,5762__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,preserved,low,Adds whitespace after semicolon-terminated statements; no token-level control or data dependency is introduced.,True,59,1192,117ed631c715
codexglue,14911,14911__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,preserved,low,Adds whitespace after semicolon-terminated statements; no token-level control or data dependency is introduced.,True,15,217,bfc197e7012c
codexglue,11046,11046__blank_line_expansion,blank_line_expansion,1,blank lines inserted after semicolons,preserved,low,Adds whitespace after semicolon-terminated statements; no token-level control or data dependency is introduced.,True,28,404,ee4253c8ef5f
codexglue,18038,18038__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,preserved,low,Adds whitespace after semicolon-terminated statements; no token-level control or data dependency is introduced.,True,29,483,e9d6eb5a6588
codexglue,27151,27151__blank_line_expansion,blank_line_expansion,1,blank lines inserted after semicolons,preserved,low,Adds whitespace after semicolon-terminated statements; no token-level control or data dependency is introduced.,True,64,1972,e795ee48f6a4
codexglue,179,179__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,preserved,low,Adds whitespace after semicolon-terminated statements; no token-level control or data dependency is introduced.,True,29,417,70a430e39b29
codexglue,2148,2148__blank_line_expansion,blank_line_expansion,1,blank lines inserted after semicolons,preserved,low,Adds whitespace after semicolon-terminated statements; no token-level control or data dependency is introduced.,True,37,1197,a52216501879
codexglue,10849,10849__blank_line_expansion,blank_line_expansion,1,blank lines inserted after semicolons,preserved,low,Adds whitespace after semicolon-terminated statements; no token-level control or data dependency is introduced.,True,29,379,8066875a274c
codexglue,937,937__blank_line_expansion,blank_line_expansion,1,blank lines inserted after semicolons,preserved,low,Adds whitespace after semicolon-terminated statements; no token-level control or data dependency is introduced.,True,59,966,b54d01f76bc7
codexglue,23339,23339__blank_line_expansion,blank_line_expansion,1,blank lines inserted after semicolons,preserved,low,Adds whitespace after semicolon-terminated statements; no token-level control or data dependency is introduced.,True,85,1398,717f2afcdd8b
codexglue,3721,3721__blank_line_expansion,blank_line_expansion,1,blank lines inserted after semicolons,preserved,low,Adds whitespace after semicolon-terminated statements; no token-level control or data dependency is introduced.,True,83,1321,0560a3eb02a1
codexglue,3834,3834__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,preserved,low,Adds whitespace after semicolon-terminated statements; no token-level control or data dependency is introduced.,True,55,766,8a33e15a5426
